english,hindi_original,hindi_simplified
central board of direct taxes income tax othermiscsuggestions regional office office dgitsystems cpc e filing sir despite several protected correspondence my rectification request filed on th dec still not processed my refund is withheld from july onwards as department is taking maximum time to process my itr because i am disabled mentally handicapped taxpayer refund of around ie twenty thousand is withheld i request with folded hands to process my rectification filed on th dec for release of refund of around twenty thousand,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर अन्य सुझाव क्षेत्रीय कार्यालय कार्यालय डी. जी. टी. एस. सिस्टम सी. पी. सी. ई. फाइलिंग सर कई संरक्षित पत्राचार के बावजूदिसंबर में दायर मेरे सुधार अनुरोध पर अभी भी कार्रवाई नहीं की गई है, मेरा रिफंड जुलाई से रोक दिया गया है क्योंकि विभाग मेरे आई. टी. आर. को संसाधित करने में अधिकतम समय ले रहा है क्योंकि मैं मानसिक रूप से विकलांग कर दाता हूं, लगभग बीस हजार का रिफंड रोक दिया गया है, मैं हाथ जोड़कर अनुरोध करता हूं कि मैं लगभग बीस हजार के रिफंड को जारी करने के लिए दिसंबर को दायर किए गए अपने सुधार को संसाधित करूं","मेरा नाम आयकर विभाग में दर्ज है। मैं मानसिक रूप से विकलांग करदाता हूं। विभाग ने मेरे आयकर रिटर्न को संसाधित करने में बहुत समय लिया है। इसलिए मेरा लगभग बीस हजार रुपये का रिफंड रोक दिया गया है। मैंने दिसंबर में अपने रिफंड को जारी करने के लिए एक सुधार अनुरोध दायर किया था, लेकिन अभी तक कोई कार्रवाई नहीं ह"
central board of direct taxes income tax direct taxes faceless assessmentnational faceless assessment centernafac pan no assessment year for the assessment year the case of the assessee was reopened us for the fact that there was diference in agreement value and the stamp duty value for the property purchase during the year the order us was passed on without considering the valuation report of the dvo as the case was being barred by limitation and in the original order the difference of the stamp duty value and agreement value was added as income from other sources the assessment order clearly stated that the effect of the dvo report will be provided once received the valuation report from the dvo was received on and the same was in our favor and the agreement value was accepted as the fair market value by the dvo hence i request you to kindly give the effect of the valuation report passed by the dvo and issue the rectified order and delete the incorrect outstanding demand the copy of the assessment order and the valuation report is attached herewith for your perusal further various grievances are filed with the assessing officer but the same is not yet rectified due to which there appears an outstanding demand and the refunds of succeeding years are also being adjusted against that the jurisdiction of the assessing officer is ward mumbai at kautilya bhavan bkc mumbai,केंद्रीय प्रत्यक्ष कर बोर्ड प्रत्यक्ष कर प्रत्यक्ष कर फेसलेस असेसमेंट राष्ट्रीय फेसलेस असेसमेंट सेंटर ने निर्धारण वर्ष के लिए किसी भी निर्धारण वर्ष में निर्धारिती के मामले को इस तथ्य के लिए फिर से खोल दिया गया था कि उस वर्ष के दौरान समझौते के मूल्य और संपत्ति खरीद के लिए स्टाम्प शुल्क मूल्य में अंतर था क्योंकि आदेश हमें डी. वी. ओ. की मूल्यांकन रिपोर्ट पर विचार किए बिना पारित किया गया था क्योंकि मामले को सीमा द्वारा प्रतिबंधित किया जा रहा था और मूल क्रम में स्टाम्प शुल्क मूल्य और समझौते के मूल्य का अंतर अन्य स्रोतों से आय के रूप में जोड़ा गया था मूल्यांकन आदेश में स्पष्ट रूप से कहा गया था कि डी. वी. ओ. से मूल्यांकन रिपोर्ट प्राप्त होने के बाद डी. वी. ओ. रिपोर्ट का प्रभाव प्रदान किया जाएगा और वही हमारे पक्ष में था और समझौते के मूल्य को डी. वी. ओ. द्वारा उचित बाजार मूल्य के रूप में स्वीकार किया गया था। कौटिल्य भवन बी. के. सी. मुंबई,"यह मामला प्रत्यक्ष कर फेसलेस असेसमेंट केंद्र से संबंधित है। एक निर्धारण वर्ष के दौरान, निर्धारिती द्वारा संपत्ति खरीदने पर स्टाम्प शुल्क का मूल्य और खरीद के समझौते का मूल्य अलग-अलग था। मूल्यांकन आदेश में कहा गया था कि जब मूल्यांकन रिपोर्ट मिलेगी तो उसके आधार पर आय को बदला जाएगा। मूल"
central board of direct taxes income tax direct taxes faceless assessmentnational faceless assessment centernafac pan no assessment year while going through the ais statement of ay wherein sum of rs refund has been adjusted for period against demand of this is to bring to your kind notice that the case has been dropped vide letter no itbacomf dt the same is attached for your perusal you are requested to give refund of the adjusted amount as the case has already been dropped,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर फेसलेस असेसमेंट राष्ट्रीय फेसलेस असेसमेंट सेंटरनाफाक ने किसी भी निर्धारण वर्ष में ए. आई. एस. के विवरण को देखते हुए, जिसमें इस मांग के खिलाफ अवधि के लिए धनवापसी की राशि को समायोजित किया गया है, यह आपके ध्यान में लाना है कि मामले को हटा दिया गया है, आपके अवलोकन के लिए इसे संलग्न किया गया है, आपसे अनुरोध किया जाता है कि समायोजित राशि की वापसी दें क्योंकि मामला पहले ही हटा दिया गया है","मेरे ध्यान में लाया गया है कि आपके आयकर विवरण में एक समायोजित राशि को वापस करने की मांग की गई थी। लेकिन क्योंकि यह मामला पहले ही खत्म कर दिया गया है, इसलिए आपसे अनुरोध है कि आप समायोजित राशि को वापस कर दें।"
central board of direct taxes income tax pan issues other name chanchal singh acknowledgement no not provided regional office office region nwr respected sir mam this is to bring to your notice that i had applied for changes in my pan card as it was not linked to my aadhar card when i applied for amendment in my pan card number objection was raised that you have multiple pan card after enquiries from pan card department it came to my knowledge that a pan card number was alloted to me in which i never applied for i have served in indian railways and have been using pan card culpg from last years my pan nuber is linked with all my bank accounts and income tax records by departments mistake or unintentionally pan has also been alloted to me kindly look into the matter and surrender pan,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर पैने अन्य नामों की स्वीकृति जारी की कोई क्षेत्रीय कार्यालय कार्यालय क्षेत्र प्रदान नहीं किया गया है आदरणीय सर मैम यह आपके ध्यान में लाने के लिए है कि मैंने अपने पैन कार्ड में परिवर्तन के लिए आवेदन किया था क्योंकि यह मेरे आधार कार्ड से जुड़ा नहीं था जब मैंने अपने पैन कार्ड नंबर में संशोधन के लिए आवेदन किया था तो आपत्ति जताई गई थी कि आपके पास पैन कार्ड विभाग से पूछताछ के बाद कई पैन कार्ड हैं, यह मेरे संज्ञान में आया कि मुझे एक पैन कार्ड नंबर आवंटित किया गया था जिसमें मैंने कभी आवेदन नहीं किया था कि मैंने भारतीय रेलवे में सेवा की है और पिछले वर्षों से पैन कार्ड का उपयोग कर रहा हूं",यह आपकी जानकारी के लिए है कि मैंने अपने पैन कार्ड में बदलाव करने के लिए आवेदन किया था क्योंकि यह मेरे आधार कार्ड से जुड़ा नहीं था। जब मैंने अपने पैन कार्ड नंबर में सुधार के लिए आवेदन किया तो विभाग ने आपत्ति की थी कि आपके पास कई पैन कार्ड हैं। मुझे पता चला कि मुझे एक पैन कार्ड नंबर दिया गया था जिसके ल
central board of direct taxes income tax direct taxes issues with it returns rectification pan no assessment year ay and ay chargeoffice not provided regional office office region pune ao has passed rectification order and has determined refund amount but the same has not been received,"केंद्रीय प्रत्यक्ष कर बोर्ड ने अपने साथ प्रत्यक्ष करों के मुद्दों को सुधार के साथ वापस करने का आदेश पारित किया है और धनवापसी की राशि निर्धारित की है, लेकिन यह प्राप्त नहीं हुई है","मुख्य आयकर बोर्ड ने आदेश दिया है कि आयकर के मामलों को सुधारने के साथ वापस लाया जाए और धनवापसी की राशि तय की गई है, लेकिन अभी तक वह प्राप्त नहीं हुई है।"
central board of direct taxes income tax direct taxes issues with it returns rectification pan no assessment year chargeoffice not provided regional office office dgitsystems cpc e filing manual order us for the above asst year has received by us but the said order is not visible in income tax site it shows that cpc has not approved the order till date copy of the manual order is enclosed now request to cpc to please approve the order and arrange for the refund,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दे इसके साथ सुधार का विवरण देता है कोई निर्धारण वर्ष नहीं प्रभार कार्यालय ने हमें उपरोक्त वर्ष के लिए क्षेत्रीय कार्यालय डी. जी. टी. एस. सिस्टम सी. पी. सी. ई. फाइलिंग मैनुअल आदेश प्रदान नहीं किया है, लेकिन उक्त आदेश आयकर साइट पर दिखाई नहीं दे रहा है, यह दर्शाता है कि सी. पी. सी. ने आज तक आदेश को मंजूरी नहीं दी है, मैनुअल आदेश की प्रति संलग्न है अब सी. पी. सी. से अनुरोध है कि कृपया आदेश को मंजूरी दें और धनवापसी की व्यवस्था करें","सीधे शब्दों में कहें तो, आयकर विभाग ने हमें पिछले साल के लिए कोई आदेश नहीं दिया है। वेबसाइट पर भी यह आदेश दिखाई नहीं दे रहा है। इसका मतलब है कि अभी तक इस आदेश को मंजूरी नहीं मिली है। मैं इस आदेश की प्रति संलग्न कर रहा हूं। कृपया इस आदेश को मंजूर करें और मेरा पैसा वापस करने की व्यवस्था करें।"
central board of direct taxes income tax direct taxes issues with it returns refund matter wrong demand pan no assessment year chargeoffice not provided regional office office dgitsystems cpc e filing respected sir i would like to inform you that i have filed a grievance application on vide registration number which was resolved by your good department on your good department provide a resolution that quotit is submitted that rectification order has been initiated in itba portal but challans have not been showing for necessary credit therefore tickets on helpdesk portal have been initiated bearing no dated and no dated for resolving the above grievance to the cpc after resolving above grievances by the cpc rectification order will be passed after giving credit of challans which was adjusted by the cpcquot in this regard i would like to inform you that sorry to say but till date i have not received any intimation or any rectification order or any information from any department i am enclosing herewith copy of grievance application which was filed by me i therefore humbly request you to please resolve this matter and issue my refund which was wrongly adjusted by cpc as soon as possible thanks and regards,केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दों के साथ रिफंड का मामला गलत मांग का कोई निर्धारण वर्ष नहीं प्रभार कार्यालय ने क्षेत्रीय कार्यालय डी. जी. टी. सिस्टम सी. पी. सी. ई. फाइलिंग प्रदान नहीं की है आदरणीय सर मैं आपको सूचित करना चाहता हूं कि मैंने पंजीकरण संख्या के माध्यम से एक शिकायत आवेदन दायर किया है जिसे आपके अच्छे विभाग द्वारा आपके अच्छे विभाग पर हल किया गया था एक प्रस्ताव प्रदान करें कि उद्धरण प्रस्तुत किया गया है कि सुधार आदेश आई. टी. बी. ए. पोर्टल में शुरू किया गया है लेकिन चालान आवश्यक क्रेडिट के लिए नहीं दिखा रहे हैं इसलिए हेल्पडेस्क पोर्टल पर टिकटों को सी. पी. सी. सुधार आदेश द्वारा उपरोक्त शिकायतों को हल करने के बाद सी. पी. सी. को उपरोक्त शिकायतों को हल करने के लिए दिनांकित और दिनांकित नहीं किया गया है,मैं आपको बताना चाहता हूं कि मैंने अपने पैन नंबर से एक शिकायत दर्ज की थी जिसे आपके विभाग ने हल कर दिया था। एक सुधार आदेश आयकर विभाग की वेबसाइट पर आया है लेकिन मेरे खाते में जरूरी राशि नहीं दिख रही है। इसलिए मैं हेल्पडेस्क पर टिकट बनाकर शिकायत करना चाहता हूं कि सुधार आदेश के बाद भी मेरी शिकाय
central board of direct taxes income tax direct taxes issues with it returns rectification pan no assessment year chargeoffice not provided regional office office dgitsystems cpc e filing the assessee had filed its return for ay on declaring loss of rs and claiming a refund of rs on account of prepaid taxes being tds and tcs the return was processed under section of the income tax act act vide intimation dated wherein tds credit of rs pertaining to macrotech developers ltd macrotech was not granted we submit that the assessee has offered cam income of rs rs pm for months from macrotech in ay and claimed corresponding tds credit of rs and rs in ay and claimed corresponding tds credit of rs however macrotech has disclosed the entire payment of rs and corresponding tds credit of rs in form as of ay in support of the above we enclose copy of sample invoices relevant extract of return of income both the years and form as of ay for your ready reference and records the claim of the assessee is in accordance with the provisions of section of the act read with rule ba of the income tax rules which provides that credit for tds is to be allowed in the year in which the corresponding income is assessable the assessee approached the jurisdictional assessing officer ao for rectifying the above mistake and granting the impugned tds credit in ay we enclose herewith copy of rectification letter dated however the assessees application was not accepted by ao for the reason that rectification rights pertaining to ay are not yet transferred to him accordingly we request you to kindly transfer the rectification rights to the jurisdictional ao so as to enable him to carry out the above rectification and oblige,"केंद्रीय प्रत्यक्ष कर बोर्ड ने अपने साथ प्रत्यक्ष कर के मुद्दों को सुधार के रूप में प्रस्तुत किया है, जिसमें कोई निर्धारण वर्ष नहीं है, प्रभार कार्यालय ने क्षेत्रीय कार्यालय कार्यालय डी. जी. टी. एस. सिस्टम सी. पी. सी. ई. को दाखिल करते हुए निर्धारिती ने आर. एस. के नुकसान की घोषणा करने और पूर्व-भुगतान करों के टी. डी. एस. और टी. सी. एस. होने के कारण आर. एस. के रिफंड का दावा करने पर अपना रिटर्न दाखिल किया था, जिसे आयकर अधिनियम की धारा के तहत संसाधित किया गया था, जिसमें सूचना दी गई थी कि मैक्रोटेक डेवलपर्स एल. टी. डी. मैक्रोटेक से संबंधित आर. एस. का टी. डी. एस. क्रेडिट नहीं दिया गया था, हम प्रस्तुत करते हैं कि निर्धारिती ने ए. आई. में मैक्रोटेक से महीनों के लिए आर. एस. पी. एम. की कैम आय की पेशकश की है और ए. आई. में आर. एस. और जिस वर्ष में संबंधित आय का आकलन किया जा सकता है, निर्धारिती ने उपरोक्त गलती को सुधारने और विवादित टी. डी. एस. क्रेडिट देने के लिए अधिकार क्षेत्र के निर्धारण अधिकारी से संपर्किया, जिसमें हम दिनांकित सुधार पत्र की प्रति संलग्न करते हैं, हालांकि निर्धारिती का आवेदन ए. ओ. द्वारा इस कारण से स्वीकार नहीं किया गया था कि ए. आई. से संबंधित सुधार अधिकार अभी तक उसे हस्तांतरित नहीं किए गए हैं, तदनुसार हम आपसे अनुरोध करते हैं कि कृपया सुधार अधिकारों को अधिकार क्षेत्र में स्थानांतरित करें ताकि वह उपरोक्त सुधार करने में सक्षम हो सके और बाध्य हो सके","मुख्य प्रत्यक्ष कर बोर्ड ने प्रत्यक्ष कर के मामलों को सुधार के रूप में पेश किया है, जिसमें कोई निर्धारण वर्ष नहीं है। कर कार्यालय ने क्षेत्रीय कार्यालय को डीजीआईटीएस सिस्टम सीपीसीई में दर्ज करते हुए निर्धारक ने आरएस के नुकसान की घोषणा की और टीडीएस और टीसीएस के कारण आरएस के रिफंड का दाव"
central board of direct taxes income tax othermiscsuggestions regional office office region tamil nadu and puducherry respected sir sub lifting of attachment of my sb account and non issue of refund leena sunny pan ay for the ay the assessing officer passed order no itbaasts dt us rws read with section b of the income tax act was passed in favour of assessee after due consideration of the facts of the case also accompanied with computation of income and demand notice us showing nil tax payable during the pendency of appeal the assessing officer made attachments in my sb account number in canara bank through notice dt and wherein the department had sent a letter dated towards lifting the attachment made in my sb account for notice dated hence lifting of bank attachment for notice dt has to be given effect hence the bank account remains frozen during the pendency of appeal the assessee paid rs dt for the ay hence a sum of rs along with interest is due to the assessee i have been following up with the assessing officer for lifting of attachment of bank account and refund of tax paid vide reminders i letter dt ii letter dt iii letter dt iv letter dt in spite of repeated reminders and personal follow up the attachment of my bank account for the notice dt have not been lifted and also my refund has not been issued i request that instructions may be issued for lifting of attachment of my sb account number in canara bank and issue refund of rs along with interest due yours faithfully mrs leena gilda sunny kindly find the details in the attachment,"केंद्रीय प्रत्यक्ष कर बोर्ड अन्य सुझाव क्षेत्रीय कार्यालय कार्यालय क्षेत्र तमिलनाडु और पुडुचेरी ने माननीय महोदय को मेरे एस. बी. खाते की कुर्की हटाने और धनवापसी जारी न करने का सम्मान किया निर्धारण अधिकारी ने आदेश पारित किया कि आयकर अधिनियम की धारा बी के साथ पढ़े जाने पर आय और मांग की गणना के साथ मामले के तथ्यों पर उचित विचार करने के बाद निर्धारिती के पक्ष में पारित किया गया, जिसमें अपील के लंबित रहने के दौरान देय शून्य कर दिखाया गया था, मूल्यांकन अधिकारी ने केनरा बैंक में मेरे एस. बी. खाता संख्या में नोटिस डी. टी. के माध्यम से कुर्की की थी और जिसमें विभाग ने मेरे एस. बी. खाते में की गई कुर्की को हटाने के लिए एक पत्र भेजा था। अनुस्मारक और व्यक्तिगत अनुवर्ती सूचना के लिए मेरे बैंक खाते की कुर्की को नहीं हटाया गया है और मेरा धनवापसी भी जारी नहीं किया गया है, मेरा अनुरोध है कि केनरा बैंक में मेरे एस. बी. खाता संख्या की कुर्की को उठाने के लिए निर्देश जारी किए जाएं और ब्याज के साथ रु. का धनवापसी जारी करें। श्रीमती लीना गिल्डा सनी कृपया कुर्की में विवरण ढूंढें","मेरे बैंक खाते में कुर्की लगी हुई है। आयकर विभाग ने मेरे खाते में जमा रकम को रोक लिया है। हालांकि, आयकर अधिकारी ने आदेश दिया है कि मेरे खाते से कुर्की हटा ली जाए और मुझे वापस रकम दी जाए। लेकिन अभी तक मेरे खाते से कुर्की नहीं हटाई गई है और न ही मुझे रकम वापस मिली है। मेरा अनुरोध है कि मेरे बैंक खा"
central board of direct taxes income tax direct taxes issues with it returns rectification pan no assessment year chargeoffice not provided regional office office dgitsystems cpc e filing i am writing to formally lodge a complaint regarding the non allowance of section pd and pc deduction by the assessing officer ao in my case for ay ay ay ay despite submitting repeated rectification requests letters i have enclosed the acknowledgement of rectification letters submitted with the assessing officer these letters were duly filed at the aos office but there has been no resolution or response addressing the issue the denial of the deduction under section p is unjustified the rectification letters clearly outlined the errors and requested the necessary correction however the ao has failed to process the rectification requests and grant the rightful deduction i kindly request your intervention in this matter to ensure that the rectification requests are reviewed and the section p deduction is properly allowed as per the provisions of the income tax act thank you for your prompt attention to this matter i look forward to your assistance in resolving this issue at the earliest,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दे अपने साथ सुधार का विवरण देता है कोई निर्धारण वर्ष प्रभार कार्यालय प्रदान नहीं करता है क्षेत्रीय कार्यालय कार्यालय डी. जी. टी. एस. सिस्टम सी. पी. सी. ई. फाइलिंग मैं मूल्यांकन अधिकारी द्वारा मेरे मामले में धारा पी. डी. और पी. सी. कटौती का भत्ता न दिए जाने के संबंध में औपचारिक रूप से शिकायत दर्ज करने के लिए लिख रहा हूं क्योंकि बार-बार सुधार अनुरोध पत्र जमा करने के बावजूद मैंने मूल्यांकन अधिकारी के साथ जमा किए गए सुधार पत्रों की स्वीकृति संलग्न की है ये पत्र विधिवत ए. ओ. एस. कार्यालय में दायर किए गए थे, लेकिन इस मुद्दे को संबोधित करने के लिए कोई संकल्प या प्रतिक्रिया नहीं दी गई है धारा पी के तहत कटौती का इनकार अनुचित है सुधार पत्र स्पष्ट रूप से त्रुटियों को रेखांकित करते हैं और आवश्यक सुधार का अनुरोध करते हैं, हालांकि ए. ओ. सुधार अनुरोधों को संसाधित करने में विफल रहा है","मुझे आयकर विभाग से एक शिकायत दर्ज करनी है। मैंने कई बार सुधार पत्र भेजे हैं लेकिन मेरे मामले में धारा पी के तहत कटौती का भत्ता नहीं दिया गया है। ये पत्र विधिवत दायर किए गए थे, लेकिन इस मुद्दे पर कोई निपटारा नहीं हुआ है। कटौती का इनकार गलत है क्योंकि सुधार पत्र स्पष्ट रूप से गलतियों को दिखाते ह"
central board of direct taxes income tax direct taxes issues with it returns tds mismatch tanpan financial yearassessment year ay to ay reg regional office office others respected sir sub non deposit of tds on pan by tan lknsd for ay to ay reg i wish to bring this matter in your honorable kind notice that i have been working in sahara india group since vide agency code and my tds has been deducted by sahara credit cooperative society limited vide tan lknsd but not deposited the same tds on my pan for the ay to ay till date this society has complete details of my tds and the tds office of lucknow is also aware about itthe society has been deposited my tds from ay to but not deposited the same for the mentioned year ay to ay whereas the society has deducted tds for the mentioned year also for the reference of income tax department i am sending my itr computation aadhar card form asmy pan card and sahara i cardsir form a amp tds certificate is not provided by employer currently kindly help me so that my tds could be deposited on my pan soon note sir i am filing rd cpgram on same issue but tds still not deposited by deducter amp when i file appeal then they said due to embargo on sahara group we are not depositing tds right now but there is no embargo on sahara group amp they are selling their properties in multiple states of india and we are not responsible for same if they have deducted tds on my income that it will be his duty to filing tds correction into my pan amp also their is no action has been taken by income tax department for not filing tds i am in financial crisis and demanding for my hard earned money please look into this matter seriously amp ask deducter for filing tds correction statement as soon as possible thanking you,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दे इसके साथ टी. डी. एस. बेमेल तानपान वित्तीय वर्ष आकलन वर्ष के साथ क्षेत्रीय कार्यालय कार्यालय को लौटाता है अन्य सम्मानित सर पैन पर टी. डी. एस. जमा नहीं करते हैं। मैं इस मामले को आपके सम्माननीय ध्यान में लाना चाहता हूं कि मैं एजेंसी कोड के माध्यम से सहारा इंडिया समूह में काम कर रहा हूं और मेरा टी. डी. एस. सहारा क्रेडिट कोऑपरेटिव सोसाइटी लिमिटेड द्वारा टेन एल. के. एन. एस. डी. के माध्यम से काटा गया है, लेकिन ए. आई. के लिए मेरे पैन पर वही टी. डी. एस. जमा नहीं किया गया है। आज तक इस सोसायटी के पास मेरे टी. डी. एस. का पूरा विवरण है और अब के टी. डी. एस. कार्यालय को भी इसके बारे में पता है कि सोसाइटी को मेरे टी. डी. एस. जमा किए गए हैं। उसी मुद्दे पर टी. डी. एस. जमा नहीं किया गया है, लेकिन जब मैं अपील दायर करता हूं तो कटौतीकर्ता द्वारा अभी भी टी. डी. एस. जमा नहीं किया गया है, तो उन्होंने कहा कि सहारा समूह पर प्रतिबंध के कारण हम अभी टी. डी. एस. जमा नहीं कर रहे हैं, लेकिन सहारा समूह पर कोई प्रतिबंध नहीं है और वे भारत के कई राज्यों में अपनी संपत्तियां बेच रहे हैं और हम इसके लिए जिम्मेदार नहीं हैं, अगर उन्होंने मेरी आय पर टी. डी. एस. काट ली है कि मेरे पैन एंप में टी. डी. एस. सुधार दाखिल करना उनका कर्तव्य होगा, तो भी आयकर विभाग द्वारा टी. डी. एस. दाखिल नहीं करने के लिए कोई कार्रवाई नहीं की गई है, मैं वित्तीय संकट में हूं और मेरी मेहनत की कमाई की मांग कर रहा हूं, कृपया इस मामले को गंभीरता से देखें और जितनी जल्दी हो सके टी. डी. एस. सुधार विवरण दाखिल करने के लिए कटौतीकर्ता से पूछें",मुझे केंद्रीय प्रत्यक्ष कर बोर्ड से निवेदन करना है कि मैं सहारा इंडिया समूह में काम करता हूं। मेरी आय पर टैक्स काटा गया है लेकिन मेरे पैन कार्ड पर वह टैक्स जमा नहीं किया गया है। सहारा क्रेडिट कोऑपरेटिव सोसाइटी ने मेरी आय से टैक्स काटा है लेकिन आयकर विभाग को वह टैक्स जमा नहीं किया गया
central board of direct taxes income tax direct taxes issues with it returns tds mismatch tanpan financial yearassessment year ay to ay reg regional office office others respected sir sub non deposit of tds on pan by tan lknsd for ay to ay reg i wish to bring this matter in your honorable kind notice that i have been working in sahara india group since vide agency code and my tds has been deducted by sahara credit cooperative society limited vide tan lknsd but not deposited the same tds on my pan for the ay to ay till date this society has complete details of my tds and the tds office of lucknow is also aware about itthe society has been deposited my tds from ay to but not deposited the same for the mentioned year ay to ay whereas the society has deducted tds for the mentioned year also for the reference of income tax department i am sending my itr computation aadhar card form asmy pan card and sahara i cardsir form a amp tds certificate is not provided by employer currently kindly help me so that my tds could be deposited on my pan soon note sir i am filing rd cpgram on same issue but tds still not deposited by deducter amp when i file appeal then they said due to embargo on sahara group we are not depositing tds right now but there is no embargo on sahara group amp they are selling their properties in multiple states of india and we are not responsible for same if they have deducted tds on my income that it will be his duty to filing tds correction into my pan amp also their is no action has been taken by income tax department for not filing tds i am in financial crisis and demanding for my hard earned money please look into this matter seriously amp ask deducter for filing tds correction statement as soon as possible thanking you,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दे इसके साथ टी. डी. एस. बेमेल तानपान वित्तीय वर्ष आकलन वर्ष के साथ क्षेत्रीय कार्यालय कार्यालय को लौटाता है अन्य सम्मानित सर पैन पर टी. डी. एस. जमा नहीं करते हैं। मैं इस मामले को आपके सम्माननीय ध्यान में लाना चाहता हूं कि मैं एजेंसी कोड के माध्यम से सहारा इंडिया समूह में काम कर रहा हूं और मेरा टी. डी. एस. सहारा क्रेडिट कोऑपरेटिव सोसाइटी लिमिटेड द्वारा टेन एल. के. एन. एस. डी. के माध्यम से काटा गया है, लेकिन ए. आई. के लिए मेरे पैन पर वही टी. डी. एस. जमा नहीं किया गया है। आज तक इस सोसायटी के पास मेरे टी. डी. एस. का पूरा विवरण है और अब के टी. डी. एस. कार्यालय को भी इसके बारे में पता है कि सोसाइटी को मेरे टी. डी. एस. जमा किए गए हैं। उसी मुद्दे पर टी. डी. एस. जमा नहीं किया गया है, लेकिन जब मैं अपील दायर करता हूं तो कटौतीकर्ता द्वारा अभी भी टी. डी. एस. जमा नहीं किया गया है, तो उन्होंने कहा कि सहारा समूह पर प्रतिबंध के कारण हम अभी टी. डी. एस. जमा नहीं कर रहे हैं, लेकिन सहारा समूह पर कोई प्रतिबंध नहीं है और वे भारत के कई राज्यों में अपनी संपत्तियां बेच रहे हैं और हम इसके लिए जिम्मेदार नहीं हैं, अगर उन्होंने मेरी आय पर टी. डी. एस. काट ली है कि मेरे पैन एंप में टी. डी. एस. सुधार दाखिल करना उनका कर्तव्य होगा, तो भी आयकर विभाग द्वारा टी. डी. एस. दाखिल नहीं करने के लिए कोई कार्रवाई नहीं की गई है, मैं वित्तीय संकट में हूं और मेरी मेहनत की कमाई की मांग कर रहा हूं, कृपया इस मामले को गंभीरता से देखें और जितनी जल्दी हो सके टी. डी. एस. सुधार विवरण दाखिल करने के लिए कटौतीकर्ता से पूछें",मुझे आयकर विभाग से एक मामला है। मैं सहारा इंडिया ग्रुप में काम करता हूं और मेरी आय पर टैक्स काटा गया है। लेकिन वही टैक्स मेरे पैन कार्ड पर जमा नहीं किया गया है। सहारा क्रेडिट कोऑपरेटिव सोसाइटी ने मेरा टैक्स काटा है लेकिन आयकर विभाग में जमा नहीं किया है। सोसाइटी के पास मेरे टैक्स का पूरा विव
